neurotransmitter,class,subclass,supertype,cluster
,,,,2255 MPN-MPO-PVpo Hmx2 Glut_4
,,,,2256 MPN-MPO-PVpo Hmx2 Glut_4
,,,,2257 MPN-MPO-PVpo Hmx2 Glut_5
,,,,2258 MPN-MPO-PVpo Hmx2 Glut_5
,,,,2259 MPN-MPO-PVpo Hmx2 Glut_5
,,,,2260 MPN-MPO-PVpo Hmx2 Glut_6
,,,,2261 MPN-MPO-PVpo Hmx2 Glut_6
,,,,2262 MPN-MPO-PVpo Hmx2 Glut_6
,,,,2263 DMH Hmx2 Glut_1
,,,,2264 DMH Hmx2 Glut_1
,,,,2265 DMH Hmx2 Glut_1
,,,,2266 DMH Hmx2 Glut_1
,,,,2267 DMH Hmx2 Glut_1
,,,,2268 DMH Hmx2 Glut_1
,,,,2269 DMH Hmx2 Glut_1
,,,,2270 DMH Hmx2 Glut_1
,,,,2271 DMH Hmx2 Glut_1
,,,,2272 DMH Hmx2 Glut_2
,,,,2273 DMH Hmx2 Glut_2
,,,,2274 ARH-PVp Tbx3 Glut_1
,,,,2275 ARH-PVp Tbx3 Glut_1
,,,,2276 ARH-PVp Tbx3 Glut_1
,,,,2277 ARH-PVp Tbx3 Glut_1
,,,,2278 ARH-PVp Tbx3 Glut_2
,,,,2279 ARH-PVp Tbx3 Glut_2
,,,,2280 ARH-PVp Tbx3 Glut_2
,,,,2281 ARH-PVp Tbx3 Glut_3
,,,,2282 ARH-PVp Tbx3 Glut_3
,,,,2283 ARH-PVp Tbx3 Glut_4
,,,,2284 ARH-PVp Tbx3 Glut_5
,,,,2285 DMH-LHA Vgll2 Glut_1
,,,,2286 DMH-LHA Vgll2 Glut_2
,,,,2287 DMH-LHA Vgll2 Glut_3
,,,,2288 DMH-LHA Vgll2 Glut_3
,,,,2289 DMH-LHA Vgll2 Glut_4
,,,,2290 VMH Fezf1 Glut_1
,,,,2291 VMH Fezf1 Glut_1
,,,,2292 VMH Fezf1 Glut_1
,,,,2293 VMH Fezf1 Glut_1
,,,,2294 VMH Fezf1 Glut_2
,,,,2295 VMH Fezf1 Glut_2
,,,,2296 VMH Fezf1 Glut_2
,,,,2297 VMH Fezf1 Glut_2
,,,,2298 VMH Fezf1 Glut_3
,,,,2299 VMH Fezf1 Glut_3
,,,,2300 VMH Fezf1 Glut_3
,,,,2301 VMH Nr5a1 Glut_1
,,,,2302 VMH Nr5a1 Glut_1
,,,,2303 VMH Nr5a1 Glut_1
,,,,2304 VMH Nr5a1 Glut_1
,,,,2305 VMH Nr5a1 Glut_1
,,,,2306 VMH Nr5a1 Glut_2
,,,,2307 VMH Nr5a1 Glut_2
,,,,2308 VMH Nr5a1 Glut_2
,,,,2309 VMH Nr5a1 Glut_2
,,,,2310 VMH Nr5a1 Glut_3
,,,,2311 VMH Nr5a1 Glut_3
,,,,2312 VMH Nr5a1 Glut_3
,,,,2313 VMH Nr5a1 Glut_3
,,,,2314 VMH Nr5a1 Glut_4
,,,,2315 VMH Nr5a1 Glut_4
,,,,2316 VMH Nr5a1 Glut_4
,,,,2317 VMH Nr5a1 Glut_5
,,,,2318 VMH Nr5a1 Glut_5
,,,,2319 VMH Nr5a1 Glut_6
,,,,2320 LHA Pmch Glut_1
,,,,2321 LHA Pmch Glut_1
,,,,2322 LHA Pmch Glut_1
,,,,2323 LHA Pmch Glut_2
,,,,2324 LHA Pmch Glut_2
,,,,2325 LHA-AHN-PVH Otp Trh Glut_1
,,,,2326 LHA-AHN-PVH Otp Trh Glut_1
,,,,2327 LHA-AHN-PVH Otp Trh Glut_1
,,,,2328 LHA-AHN-PVH Otp Trh Glut_1
,,,,2329 LHA-AHN-PVH Otp Trh Glut_1
,,,,2330 LHA-AHN-PVH Otp Trh Glut_2
,,,,2331 LHA-AHN-PVH Otp Trh Glut_2
,,,,2332 LHA-AHN-PVH Otp Trh Glut_2
,,,,2333 LHA-AHN-PVH Otp Trh Glut_2
,,,,2334 LHA-AHN-PVH Otp Trh Glut_3
,,,,2335 LHA-AHN-PVH Otp Trh Glut_3
,,,,2336 LHA-AHN-PVH Otp Trh Glut_3
,,,,2337 LHA-AHN-PVH Otp Trh Glut_4
,,,,2338 LHA-AHN-PVH Otp Trh Glut_4
,,,,2339 LHA-AHN-PVH Otp Trh Glut_5
,,,,2340 AHN-RCH-LHA Otp Fezf1 Glut_1
,,,,2341 AHN-RCH-LHA Otp Fezf1 Glut_1
,,,,2342 AHN-RCH-LHA Otp Fezf1 Glut_1
,,,,2343 AHN-RCH-LHA Otp Fezf1 Glut_1
,,,,2344 AHN-RCH-LHA Otp Fezf1 Glut_1
,,,,2345 AHN-RCH-LHA Otp Fezf1 Glut_2
,,,,2346 AHN-RCH-LHA Otp Fezf1 Glut_2
,,,,2347 AHN-RCH-LHA Otp Fezf1 Glut_2
,,,,2348 AHN-RCH-LHA Otp Fezf1 Glut_2
,,,,2349 AHN-RCH-LHA Otp Fezf1 Glut_2
,,,,2350 AHN-RCH-LHA Otp Fezf1 Glut_2
,,,,2351 AHN-RCH-LHA Otp Fezf1 Glut_2
,,,,2352 AHN-RCH-LHA Otp Fezf1 Glut_3
,,,,2353 AHN-RCH-LHA Otp Fezf1 Glut_3
,,,,2354 AHN-RCH-LHA Otp Fezf1 Glut_3
,,,,2355 AHN-RCH-LHA Otp Fezf1 Glut_3
,,,,2356 AHN-RCH-LHA Otp Fezf1 Glut_4
,,,,2357 AHN-RCH-LHA Otp Fezf1 Glut_4
,,,,2358 AHN-RCH-LHA Otp Fezf1 Glut_4
,,,,2359 AHN-RCH-LHA Otp Fezf1 Glut_4
,,,,2360 AHN-RCH-LHA Otp Fezf1 Glut_5
,,,,2361 AHN-RCH-LHA Otp Fezf1 Glut_6
,,,,2362 AHN-RCH-LHA Otp Fezf1 Glut_6
,,,,2363 AHN-RCH-LHA Otp Fezf1 Glut_6
,,,,2364 PVH-SO-PVa Otp Glut_1
,,,,2365 PVH-SO-PVa Otp Glut_1
,,,,2366 PVH-SO-PVa Otp Glut_1
,,,,2367 PVH-SO-PVa Otp Glut_1
,,,,2368 PVH-SO-PVa Otp Glut_1
,,,,2369 PVH-SO-PVa Otp Glut_2
,,,,2370 PVH-SO-PVa Otp Glut_2
,,,,2371 PVH-SO-PVa Otp Glut_2
,,,,2372 PVH-SO-PVa Otp Glut_2
,,,,2373 PVH-SO-PVa Otp Glut_2
,,,,2374 PVH-SO-PVa Otp Glut_2
,,,,2375 PVH-SO-PVa Otp Glut_3
,,,,2376 PVH-SO-PVa Otp Glut_3
,,,,2377 PVH-SO-PVa Otp Glut_3
,,,,2378 PVH-SO-PVa Otp Glut_3
,,,,2379 PVH-SO-PVa Otp Glut_4
,,,,2380 PVH-SO-PVa Otp Glut_4
,,,,2381 PVH-SO-PVa Otp Glut_4
,,,,2382 PVH-SO-PVa Otp Glut_5
,,,,2383 PVH-SO-PVa Otp Glut_5
,,,,2384 PVH-SO-PVa Otp Glut_5
,,,,2385 PVH-SO-PVa Otp Glut_6
,,,,2386 PVH-SO-PVa Otp Glut_6
,,,,2387 PH-ant-LHA Otp Bsx Glut_1
,,,,2388 PH-ant-LHA Otp Bsx Glut_1
,,,,2389 PH-ant-LHA Otp Bsx Glut_1
,,,,2390 PH-ant-LHA Otp Bsx Glut_1
,,,,2391 PH-ant-LHA Otp Bsx Glut_1
,,,,2392 PH-ant-LHA Otp Bsx Glut_1
,,,,2393 PH-ant-LHA Otp Bsx Glut_1
,,,,2394 PH-ant-LHA Otp Bsx Glut_1
,,,,2395 PH-ant-LHA Otp Bsx Glut_2
,,,,2396 PH-ant-LHA Otp Bsx Glut_2
,,,,2397 PH-ant-LHA Otp Bsx Glut_2
,,,,2398 PH-ant-LHA Otp Bsx Glut_2
,,,,2399 PH-ant-LHA Otp Bsx Glut_2
,,,,2400 PH-ant-LHA Otp Bsx Glut_2
,,,,2401 PH-ant-LHA Otp Bsx Glut_3
,,,,2402 PH-ant-LHA Otp Bsx Glut_3
,,,,2403 PH-ant-LHA Otp Bsx Glut_3
,,,,2404 PH-ant-LHA Otp Bsx Glut_3
,,,,2405 PH-ant-LHA Otp Bsx Glut_3
,,,,2406 PH-ant-LHA Otp Bsx Glut_3
,,,,2407 PH-ant-LHA Otp Bsx Glut_4
,,,,2408 PH-ant-LHA Otp Bsx Glut_4
,,,,2409 PH-ant-LHA Otp Bsx Glut_4
,,,,2410 PH-ant-LHA Otp Bsx Glut_4
,,,,2411 PH-ant-LHA Otp Bsx Glut_4
,,,,2412 PH-ant-LHA Otp Bsx Glut_4
,,,,2413 PH-ant-LHA Otp Bsx Glut_5
,,,,2414 PH-ant-LHA Otp Bsx Glut_5
,,,,2415 PH-ant-LHA Otp Bsx Glut_5
,,,,2416 PH-ant-LHA Otp Bsx Glut_5
,,,,2417 PH-ant-LHA Otp Bsx Glut_5
,,,,2418 PH-ant-LHA Otp Bsx Glut_5
,,,,2419 PH-ant-LHA Otp Bsx Glut_5
,,,,2420 PH-ant-LHA Otp Bsx Glut_6
,,,,2421 PH-ant-LHA Otp Bsx Glut_6
,,,,2422 PH-ant-LHA Otp Bsx Glut_6
,,,,2423 PH-ant-LHA Otp Bsx Glut_7
,,,,2424 PH-ant-LHA Otp Bsx Glut_7
,,,,2425 PH-ant-LHA Otp Bsx Glut_7
,,,,2426 PH-ant-LHA Otp Bsx Glut_7
,,,,2427 PH-ant-LHA Otp Bsx Glut_7
,,,,2428 PH-ant-LHA Otp Bsx Glut_7
,,,,2429 STN-PSTN Pitx2 Glut_1
,,,,2430 STN-PSTN Pitx2 Glut_1
,,,,2431 STN-PSTN Pitx2 Glut_1
,,,,2432 STN-PSTN Pitx2 Glut_1
,,,,2433 STN-PSTN Pitx2 Glut_1
,,,,2434 STN-PSTN Pitx2 Glut_1
,,,,2435 STN-PSTN Pitx2 Glut_1
,,,,2436 STN-PSTN Pitx2 Glut_2
,,,,2437 STN-PSTN Pitx2 Glut_2
,,,,2438 STN-PSTN Pitx2 Glut_2
,,,,2439 STN-PSTN Pitx2 Glut_2
,,,,2440 STN-PSTN Pitx2 Glut_2
,,,,2441 STN-PSTN Pitx2 Glut_2
,,,,2442 STN-PSTN Pitx2 Glut_3
,,,,2443 STN-PSTN Pitx2 Glut_3
,,,,2444 STN-PSTN Pitx2 Glut_3
,,,,2445 STN-PSTN Pitx2 Glut_3
,,,,2446 STN-PSTN Pitx2 Glut_3
,,,,2447 STN-PSTN Pitx2 Glut_3
,,,,2448 STN-PSTN Pitx2 Glut_4
,,,,2449 STN-PSTN Pitx2 Glut_4
,,,,2450 STN-PSTN Pitx2 Glut_4
,,,,2451 STN-PSTN Pitx2 Glut_4
,,,,2452 STN-PSTN Pitx2 Glut_4
,,,,2453 STN-PSTN Pitx2 Glut_5
,,,,2454 STN-PSTN Pitx2 Glut_5
,,,,2455 STN-PSTN Pitx2 Glut_5
,,,,2456 STN-PSTN Pitx2 Glut_5
,,,,2457 STN-PSTN Pitx2 Glut_6
,,,,2458 STN-PSTN Pitx2 Glut_6
,,,,2459 STN-PSTN Pitx2 Glut_7
,,,,2460 PMv-TMv Pitx2 Glut_1
,,,,2461 PMv-TMv Pitx2 Glut_1
,,,,2462 PMv-TMv Pitx2 Glut_1
,,,,2463 PMv-TMv Pitx2 Glut_1
,,,,2464 PMv-TMv Pitx2 Glut_1
,,,,2465 PMv-TMv Pitx2 Glut_2
,,,,2466 PMv-TMv Pitx2 Glut_2
,,,,2467 PMv-TMv Pitx2 Glut_2
,,,,2468 PMv-TMv Pitx2 Glut_2
,,,,2469 PMv-TMv Pitx2 Glut_3
,,,,2470 PMv-TMv Pitx2 Glut_3
,,,,2471 PMv-TMv Pitx2 Glut_3
,,,,2472 PMv-TMv Pitx2 Glut_3
,,,,2473 PMv-TMv Pitx2 Glut_3
,,,,2474 PH-an Pitx2 Glut_1
,,,,2475 PH-an Pitx2 Glut_1
,,,,2476 PH-an Pitx2 Glut_2
,,,,2477 PH-an Pitx2 Glut_2
,,,,2478 PH-an Pitx2 Glut_2
,,,,2479 PH-an Pitx2 Glut_2
,,,,2480 PH-an Pitx2 Glut_2
,,,,2481 PH Pitx2 Glut_1
,,,,2482 PH Pitx2 Glut_1
,,,,2483 PH Pitx2 Glut_1
,,,,2484 PH Pitx2 Glut_1
,,,,2485 PH Pitx2 Glut_2
,,,,2486 PH Pitx2 Glut_2
,,,,2487 PH Pitx2 Glut_2
,,,,2488 PH Pitx2 Glut_2
,,,,2489 PH Pitx2 Glut_2
,,,,2490 PH Pitx2 Glut_2
,,,,2491 PH Pitx2 Glut_2
,,,,2492 PH Pitx2 Glut_2
,,,,2493 PH Pitx2 Glut_2
,,,,2494 PH Pitx2 Glut_2
,,,,2495 PH Pitx2 Glut_2
,,,,2496 PH Pitx2 Glut_2
,,,,2497 PH Pitx2 Glut_2
,,,,2498 PH-LHA Foxb1 Glut_1
,,,,2499 PH-LHA Foxb1 Glut_1
,,,,2500 PH-LHA Foxb1 Glut_1
,,,,2501 PH-LHA Foxb1 Glut_1
,,,,2502 PH-LHA Foxb1 Glut_1
,,,,2503 PH-LHA Foxb1 Glut_1
,,,,2504 PH-LHA Foxb1 Glut_1
,,,,2505 PH-LHA Foxb1 Glut_2
,,,,2506 PH-LHA Foxb1 Glut_2
,,,,2507 PH-LHA Foxb1 Glut_2
,,,,2508 PH-LHA Foxb1 Glut_2
,,,,2509 PH-LHA Foxb1 Glut_3
,,,,2510 PH-LHA Foxb1 Glut_3
,,,,2511 PH-LHA Foxb1 Glut_3
,,,,2512 PH-LHA Foxb1 Glut_3
,,,,2513 PH-LHA Foxb1 Glut_3
,,,,2514 PH-LHA Foxb1 Glut_3
,,,,2515 PH-LHA Foxb1 Glut_4
,,,,2516 PH-LHA Foxb1 Glut_4
,,,,2517 PH-LHA Foxb1 Glut_5
,,,,2518 PH-LHA Foxb1 Glut_5
,,,,2519 PH-LHA Foxb1 Glut_6
,,,,2520 PH-LHA Foxb1 Glut_7
,,,,2521 PH-LHA Foxb1 Glut_7
,,,,2522 PMd-LHA Foxb1 Glut_1
,,,,2523 PMd-LHA Foxb1 Glut_1
,,,,2524 PMd-LHA Foxb1 Glut_2
,,,,2525 PMd-LHA Foxb1 Glut_2
,,,,2526 PMd-LHA Foxb1 Glut_2
,,,,2527 PMd-LHA Foxb1 Glut_2
,,,,2528 PMd-LHA Foxb1 Glut_2
,,,,2529 PMd-LHA Foxb1 Glut_2
,,,,2530 PMd-LHA Foxb1 Glut_2
,,,,2531 PMd-LHA Foxb1 Glut_2
,,,,2532 PMd-LHA Foxb1 Glut_2
,,,,2533 PMd-LHA Foxb1 Glut_3
,,,,2534 PMd-LHA Foxb1 Glut_3
,,,,2535 PMd-LHA Foxb1 Glut_3
,,,,2536 PH-SUM Foxa1 Glut_1
,,,,2537 PH-SUM Foxa1 Glut_1
,,,,2538 PH-SUM Foxa1 Glut_1
,,,,2539 PH-SUM Foxa1 Glut_1
,,,,2540 PH-SUM Foxa1 Glut_2
,,,,2541 PH-SUM Foxa1 Glut_2
,,,,2542 PH-SUM Foxa1 Glut_2
,,,,2543 PH-SUM Foxa1 Glut_3
,,,,2544 PH-SUM Foxa1 Glut_3
,,,,2545 PH-SUM Foxa1 Glut_3
,,,,2546 PH-SUM Foxa1 Glut_3
,,,,2547 PH-SUM Foxa1 Glut_3
,,,,2548 PH-SUM Foxa1 Glut_3
,,,,2549 PH-SUM Foxa1 Glut_3
,,,,2550 PH-SUM Foxa1 Glut_4
,,,,2551 PH-SUM Foxa1 Glut_4
,,,,2552 PH-SUM Foxa1 Glut_5
,,,,2553 PH-SUM Foxa1 Glut_5
,,,,2554 PH-SUM Foxa1 Glut_5
,,,,2555 PH-SUM Foxa1 Glut_5
,,,,2556 PH-SUM Foxa1 Glut_5
,,,,2557 PH-SUM Foxa1 Glut_5
,,,,2558 PH-SUM Foxa1 Glut_6
,,,,2559 PH-SUM Foxa1 Glut_6
,,,,2560 PH-SUM Foxa1 Glut_6
,,,,2561 PH-SUM Foxa1 Glut_6
,,,,2562 PH-SUM Foxa1 Glut_6
,,,,2563 PH-SUM Foxa1 Glut_6
,,,,2564 HY Gnrh1 Glut_1
,,,,2565 MM-ant Foxb1 Glut_1
,,,,2566 MM-ant Foxb1 Glut_1
,,,,2567 MM-ant Foxb1 Glut_1
,,,,2568 MM-ant Foxb1 Glut_1
,,,,2569 MM-ant Foxb1 Glut_1
,,,,2570 MM-ant Foxb1 Glut_1
,,,,2571 MM Foxb1 Glut_1
,,,,2572 MM Foxb1 Glut_1
,,,,2573 MM Foxb1 Glut_1
,,,,2574 MM Foxb1 Glut_2
,,,,2575 MM Foxb1 Glut_2
,,,,2576 MM Foxb1 Glut_2
,,,,2577 MM Foxb1 Glut_2
,,,,2578 MH Tac2 Glut_1
,,,,2579 MH Tac2 Glut_1
,,,,2580 MH Tac2 Glut_1
,,,,2581 MH Tac2 Glut_1
,,,,2582 MH Tac2 Glut_2
,,,,2583 MH Tac2 Glut_2
,,,,2584 MH Tac2 Glut_2
,,,,2585 MH Tac2 Glut_2
,,,,2586 MH Tac2 Glut_2
,,,,2587 MH Tac2 Glut_3
,,,,2588 MH Tac2 Glut_3
,,,,2589 MH Tac2 Glut_3
,,,,2590 MH Tac2 Glut_3
,,,,2591 MH Tac2 Glut_3
,,,,2592 MH Tac2 Glut_3
,,,,2593 MH Tac2 Glut_3
,,,,2594 MH Tac2 Glut_4
,,,,2595 MH Tac2 Glut_4
,,,,2596 MH Tac2 Glut_5
,,,,2597 MH Tac2 Glut_5
,,,,2598 MH Tac2 Glut_5
,,,,2599 LH Pou4f1 Sox1 Glut_1
,,,,2600 LH Pou4f1 Sox1 Glut_1
,,,,2601 LH Pou4f1 Sox1 Glut_2
,,,,2602 LH Pou4f1 Sox1 Glut_2
,,,,2603 LH Pou4f1 Sox1 Glut_2
,,,,2604 LH Pou4f1 Sox1 Glut_2
,,,,2605 LH Pou4f1 Sox1 Glut_2
,,,,2606 LH Pou4f1 Sox1 Glut_3
,,,,2607 LH Pou4f1 Sox1 Glut_3
,,,,2608 LH Pou4f1 Sox1 Glut_3
,,,,2609 LH Pou4f1 Sox1 Glut_4
,,,,2610 LH Pou4f1 Sox1 Glut_4
,,,,2611 LH Pou4f1 Sox1 Glut_4
,,,,2612 LH Pou4f1 Sox1 Glut_4
,,,,2613 AD Serpinb7 Glut_1
,,,,2614 AD Serpinb7 Glut_1
,,,,2615 AV Col27a1 Glut_1
,,,,2616 AV Col27a1 Glut_1
,,,,2617 PVT-PT Ntrk1 Glut_1
,,,,2618 PVT-PT Ntrk1 Glut_1
,,,,2619 PVT-PT Ntrk1 Glut_1
,,,,2620 PVT-PT Ntrk1 Glut_2
,,,,2621 PVT-PT Ntrk1 Glut_2
,,,,2622 PVT-PT Ntrk1 Glut_2
,,,,2623 PVT-PT Ntrk1 Glut_2
,,,,2624 PVT-PT Ntrk1 Glut_3
,,,,2625 PVT-PT Ntrk1 Glut_3
,,,,2626 PVT-PT Ntrk1 Glut_3
,,,,2627 PVT-PT Ntrk1 Glut_4
,,,,2628 PVT-PT Ntrk1 Glut_4
,,,,2629 PVT-PT Ntrk1 Glut_4
,,,,2630 PVT-PT Ntrk1 Glut_5
,,,,2631 PVT-PT Ntrk1 Glut_5
,,,,2632 PVT-PT Ntrk1 Glut_6
,,,,2633 CM-IAD-CL-PCN Sema5b Glut_1
,,,,2634 CM-IAD-CL-PCN Sema5b Glut_1
,,,,2635 CM-IAD-CL-PCN Sema5b Glut_1
,,,,2636 CM-IAD-CL-PCN Sema5b Glut_1
,,,,2637 CM-IAD-CL-PCN Sema5b Glut_2
,,,,2638 CM-IAD-CL-PCN Sema5b Glut_2
,,,,2639 CM-IAD-CL-PCN Sema5b Glut_2
,,,,2640 CM-IAD-CL-PCN Sema5b Glut_3
,,,,2641 CM-IAD-CL-PCN Sema5b Glut_3
,,,,2642 CM-IAD-CL-PCN Sema5b Glut_3
,,,,2643 CM-IAD-CL-PCN Sema5b Glut_4
,,,,2644 CM-IAD-CL-PCN Sema5b Glut_4
,,,,2645 CM-IAD-CL-PCN Sema5b Glut_4
,,,,2646 CM-IAD-CL-PCN Sema5b Glut_5
,,,,2647 CM-IAD-CL-PCN Sema5b Glut_5
,,,,2648 TH Prkcd Grin2c Glut_1
,,,,2649 TH Prkcd Grin2c Glut_1
,,,,2650 TH Prkcd Grin2c Glut_2
,,,,2651 TH Prkcd Grin2c Glut_3
,,,,2652 TH Prkcd Grin2c Glut_3
,,,,2653 TH Prkcd Grin2c Glut_4
,,,,2654 TH Prkcd Grin2c Glut_4
,,,,2655 TH Prkcd Grin2c Glut_5
,,,,2656 TH Prkcd Grin2c Glut_5
,,,,2657 TH Prkcd Grin2c Glut_5
,,,,2658 TH Prkcd Grin2c Glut_5
,,,,2659 TH Prkcd Grin2c Glut_6
,,,,2660 TH Prkcd Grin2c Glut_6
,,,,2661 TH Prkcd Grin2c Glut_6
,,,,2662 TH Prkcd Grin2c Glut_6
,,,,2663 TH Prkcd Grin2c Glut_6
,,,,2664 TH Prkcd Grin2c Glut_6
,,,,2665 TH Prkcd Grin2c Glut_7
,,,,2666 TH Prkcd Grin2c Glut_7
,,,,2667 TH Prkcd Grin2c Glut_7
,,,,2668 TH Prkcd Grin2c Glut_8
,,,,2669 TH Prkcd Grin2c Glut_8
,,,,2670 TH Prkcd Grin2c Glut_8
,,,,2671 TH Prkcd Grin2c Glut_8
,,,,2672 TH Prkcd Grin2c Glut_8
,,,,2673 TH Prkcd Grin2c Glut_8
,,,,2674 TH Prkcd Grin2c Glut_9
,,,,2675 TH Prkcd Grin2c Glut_9
,,,,2676 TH Prkcd Grin2c Glut_9
,,,,2677 TH Prkcd Grin2c Glut_10
,,,,2678 TH Prkcd Grin2c Glut_10
,,,,2679 TH Prkcd Grin2c Glut_11
,,,,2680 TH Prkcd Grin2c Glut_11
,,,,2681 TH Prkcd Grin2c Glut_12
,,,,2682 TH Prkcd Grin2c Glut_12
,,,,2683 TH Prkcd Grin2c Glut_13
,,,,2684 TH Prkcd Grin2c Glut_13
,,,,2685 TH Prkcd Grin2c Glut_13
,,,,2686 TH Prkcd Grin2c Glut_13
,,,,2687 TH Prkcd Grin2c Glut_13
,,,,2688 TH Prkcd Grin2c Glut_14
,,,,2689 TH Prkcd Grin2c Glut_14
,,,,2690 RE-Xi Nox4 Glut_1
,,,,2691 RE-Xi Nox4 Glut_1
,,,,2692 RE-Xi Nox4 Glut_1
,,,,2693 RE-Xi Nox4 Glut_1
,,,,2694 RE-Xi Nox4 Glut_2
,,,,2695 RE-Xi Nox4 Glut_2
,,,,2696 RE-Xi Nox4 Glut_2
,,,,2697 RE-Xi Nox4 Glut_2
,,,,2698 RE-Xi Nox4 Glut_3
,,,,2699 RE-Xi Nox4 Glut_3
,,,,2700 RE-Xi Nox4 Glut_3
,,,,2701 RE-Xi Nox4 Glut_3
,,,,2702 RE-Xi Nox4 Glut_3
,,,,2703 RE-Xi Nox4 Glut_4
,,,,2704 MG-POL-SGN Nts Glut_1
,,,,2705 MG-POL-SGN Nts Glut_1
,,,,2706 MG-POL-SGN Nts Glut_1
,,,,2707 MG-POL-SGN Nts Glut_2
,,,,2708 MG-POL-SGN Nts Glut_2
,,,,2709 MG-POL-SGN Nts Glut_2
,,,,2710 PF Fzd5 Glut_1
,,,,2711 PF Fzd5 Glut_1
,,,,2712 PF Fzd5 Glut_1
,,,,2713 PF Fzd5 Glut_1
,,,,2714 PF Fzd5 Glut_1
,,,,2715 PF Fzd5 Glut_1
,,,,2716 PF Fzd5 Glut_1
,,,,2717 PF Fzd5 Glut_1
,,,,2718 PF Fzd5 Glut_1
,,,,2719 PF Fzd5 Glut_1
,,,,2720 PF Fzd5 Glut_2
,,,,2721 PF Fzd5 Glut_2
,,,,2722 PF Fzd5 Glut_2
,,,,2723 PF Fzd5 Glut_2
,,,,2724 PF Fzd5 Glut_2
,,,,2725 PF Fzd5 Glut_2
,,,,2726 PRC-PAG Pax6 Glut_1
,,,,2727 PRC-PAG Pax6 Glut_1
,,,,2728 PRC-PAG Pax6 Glut_1
,,,,2729 PRC-PAG Pax6 Glut_1
,,,,2730 PRC-PAG Pax6 Glut_1
,,,,2731 PRC-PAG Pax6 Glut_1
,,,,2732 PRC-PAG Pax6 Glut_1
,,,,2733 PRC-PAG Pax6 Glut_2
,,,,2734 PRC-PAG Pax6 Glut_2
,,,,2735 PRC-PAG Pax6 Glut_2
,,,,2736 PRC-PAG Pax6 Glut_2
,,,,2737 PRC-PAG Pax6 Glut_2
,,,,2738 PRC-PAG Pax6 Glut_2
,,,,2739 PRC-PAG Pax6 Glut_2
,,,,2740 PRC-PAG Pax6 Glut_2
,,,,2741 PRC-PAG Pax6 Glut_3
,,,,2742 PRC-PAG Pax6 Glut_3
,,,,2743 PRC-PAG Pax6 Glut_3
,,,,2744 PRC-PAG Pax6 Glut_3
,,,,2745 PRC-PAG Pax6 Glut_3
,,,,2746 PRC-PAG Pax6 Glut_3
,,,,2747 PRC-PAG Pax6 Glut_3
,,,,2748 PRC-PAG Pax6 Glut_4
,,,,2749 PRC-PAG Pax6 Glut_4
,,,,2750 PRC-PAG Pax6 Glut_4
,,,,2751 PRC-PAG Pax6 Glut_5
,,,,2752 MB-ant-ve Dmrta2 Glut_1
,,,,2753 MB-ant-ve Dmrta2 Glut_1
,,,,2754 MB-ant-ve Dmrta2 Glut_1
,,,,2755 MB-ant-ve Dmrta2 Glut_1
,,,,2756 MB-ant-ve Dmrta2 Glut_1
,,,,2757 MB-ant-ve Dmrta2 Glut_1
,,,,2758 MB-ant-ve Dmrta2 Glut_1
,,,,2759 MB-ant-ve Dmrta2 Glut_1
,,,,2760 MB-ant-ve Dmrta2 Glut_1
,,,,2761 RN Spp1 Glut_1
,,,,2762 MRN-PAG Nkx6-1 Glut_1
,,,,2763 MRN-PAG Nkx6-1 Glut_1
,,,,2764 MRN-PAG Nkx6-1 Glut_1
,,,,2765 MRN-PAG Nkx6-1 Glut_2
,,,,2766 MRN-PAG Nkx6-1 Glut_2
,,,,2767 IF-RL-CLI-PAG Foxa1 Glut_1
,,,,2768 IF-RL-CLI-PAG Foxa1 Glut_1
,,,,2769 IF-RL-CLI-PAG Foxa1 Glut_1
,,,,2770 IF-RL-CLI-PAG Foxa1 Glut_1
,,,,2771 IF-RL-CLI-PAG Foxa1 Glut_1
,,,,2772 IF-RL-CLI-PAG Foxa1 Glut_2
,,,,2773 IF-RL-CLI-PAG Foxa1 Glut_2
,,,,2774 IF-RL-CLI-PAG Foxa1 Glut_2
,,,,2775 IF-RL-CLI-PAG Foxa1 Glut_3
,,,,2776 IF-RL-CLI-PAG Foxa1 Glut_3
,,,,2777 IF-RL-CLI-PAG Foxa1 Glut_3
,,,,2778 IF-RL-CLI-PAG Foxa1 Glut_4
,,,,2779 IF-RL-CLI-PAG Foxa1 Glut_4
,,,,2780 IF-RL-CLI-PAG Foxa1 Glut_5
,,,,2781 PAG-SC Neurod2 Meis2 Glut_1
,,,,2782 PAG-SC Neurod2 Meis2 Glut_1
,,,,2783 PAG-SC Neurod2 Meis2 Glut_1
,,,,2784 PAG-SC Neurod2 Meis2 Glut_1
,,,,2785 PAG-SC Neurod2 Meis2 Glut_1
,,,,2786 PAG-SC Neurod2 Meis2 Glut_2
,,,,2787 PAG-SC Neurod2 Meis2 Glut_2
,,,,2788 PAG-SC Neurod2 Meis2 Glut_2
,,,,2789 PAG-SC Neurod2 Meis2 Glut_2
,,,,2790 PAG-SC Neurod2 Meis2 Glut_3
,,,,2791 PAG-SC Neurod2 Meis2 Glut_4
,,,,2792 PAG-SC Neurod2 Meis2 Glut_4
,,,,2793 PAG-SC Neurod2 Meis2 Glut_4
,,,,2794 PAG-SC Neurod2 Meis2 Glut_4
